seed,condition,label,score_manifold,score_naive
45,zz_scale_0.6,1,6.075226557756286,11.02478382098384
45,zz_scale_0.6,1,5.795397593030441,10.597405714804108
45,zz_scale_0.6,1,5.755870602660866,10.411006305108065
45,zz_scale_0.6,1,6.2721927987591375,10.705342755868712
45,zz_scale_0.6,1,6.283951943494161,11.2282231227518
45,zz_scale_0.6,1,5.688294262796679,10.286724963523477
45,zz_scale_1.0,1,6.097295870861337,10.465855041065494
45,zz_scale_1.0,1,6.785886278754978,11.222824483270566
45,zz_scale_1.0,1,6.466139203582676,10.656255653350755
45,zz_scale_1.0,1,6.388982820968525,11.505331506171164
45,zz_scale_1.0,1,5.357248249250516,10.58874715703446
45,zz_scale_1.0,1,6.776856769547321,10.827693865982035
45,zz_scale_1.0,1,6.973155773509745,11.638806353364885
45,zz_scale_1.0,1,6.585909072403876,11.118166026701283
45,zz_scale_1.0,1,5.965357416599161,11.027362701659651
45,zz_scale_1.0,1,6.2749702592695105,10.606937911242897
45,zz_scale_1.0,1,6.068178974804059,11.37574509342266
45,zz_scale_1.0,1,5.972484689448948,10.628203873783297
45,zz_scale_1.0,1,6.286414472108354,11.141539593481511
45,zz_scale_1.0,1,5.975608020538781,10.772367134319628
45,zz_scale_1.0,1,6.845201669641396,11.30459894874926
45,z_only,1,5.683414888330734,10.626820190232712
45,z_only,1,6.217296920621814,10.501620377927512
45,z_only,1,5.274796925591924,10.02289860621633
45,z_only,1,5.899747808025683,10.49082541743244
45,z_only,1,6.488777109880576,10.646433454557739
45,z_only,1,5.328472347166788,9.924846103547647
45,z_only,1,5.221948777898043,9.998541333517215
45,z_only,1,5.537598815325208,10.134822456961372
45,z_only,1,5.972079985493792,10.249243866009719
45,z_only,1,6.01622578023571,10.628845496062217
45,z_only,1,5.619595695168617,10.582067851657191
45,z_only,1,5.39037923244921,10.12184983915014
45,z_only,1,5.633563137822143,9.947552470730871
45,z_only,1,5.889244484116012,10.815050938100581
45,z_only,1,5.814776125224528,10.70673159217117
46,clean,0,4.313745202320372,9.056111701822934
46,clean,0,3.560379538486293,8.333105719060296
46,clean,0,4.100396902065639,9.499433201367436
46,clean,0,3.697082977557307,8.92667627843841
46,clean,0,3.4417222409304,8.161019988670166
46,clean,0,3.7426644872458774,9.417104543904422
46,clean,0,4.439809307495201,8.70506232973851
46,clean,0,4.028438070437171,9.154359935533998
46,clean,0,3.2966610980314246,8.330064000701386
46,clean,0,3.8856353499324787,8.36265199528613
46,clean,0,3.8315832797718037,8.892074784984493
46,clean,0,3.753900927538333,9.448097433641417
46,clean,0,3.8227863354309264,8.853375958899127
46,clean,0,4.155128462559532,8.766566465051207
46,clean,0,3.928788472159398,8.560572152814402
46,zz_scale_0.05,1,3.6494395893783844,8.475054149637646
46,zz_scale_0.05,1,3.9104459970490817,9.047139021534925
46,zz_scale_0.05,1,3.274903590887383,8.761159776693084
46,zz_scale_0.05,1,4.132452210846372,9.217108342184732
46,zz_scale_0.05,1,3.7898083269274743,8.678953747853477
