state_id,variant_type,variant_id,j_star_C,margin_C,R_manifold,agrees_with_original
bloodmnist_seed46_before,theta_eps0.01,4,69,0.05421203526181262,0.23614135692569413,True
bloodmnist_seed46_after,x_ref,1,108,0.03582092684793997,0.29166259450790816,False
bloodmnist_seed46_after,x_ref,2,188,0.029803760652251432,0.3688181610555338,False
bloodmnist_seed46_after,x_ref,3,191,0.1603190759362209,0.2760880488834912,False
bloodmnist_seed46_after,x_ref,4,8,0.012625382223505177,0.3190537808320864,False
bloodmnist_seed46_after,theta_eps0.001,0,99,0.01201945360573195,0.25591476170171273,True
bloodmnist_seed46_after,theta_eps0.001,1,99,0.010205443911081996,0.2554052962090761,True
bloodmnist_seed46_after,theta_eps0.001,2,99,0.012219738290957016,0.2557327418915669,True
bloodmnist_seed46_after,theta_eps0.001,3,99,0.013239725260324242,0.2559571181200442,True
bloodmnist_seed46_after,theta_eps0.001,4,99,0.013245436628356422,0.255908995292702,True
bloodmnist_seed46_after,theta_eps0.01,0,99,0.008741593354820915,0.25700892278528764,True
bloodmnist_seed46_after,theta_eps0.01,1,4,0.008243966828747229,0.25178349994584953,False
bloodmnist_seed46_after,theta_eps0.01,2,99,0.01106426294178428,0.25605070785018835,True
bloodmnist_seed46_after,theta_eps0.01,3,99,0.021927231711357048,0.25788190901946373,True
bloodmnist_seed46_after,theta_eps0.01,4,99,0.02249327933156045,0.25695549961308345,True
bloodmnist_seed47_before,x_ref,1,167,0.00692774368956528,0.38875643362432943,False
bloodmnist_seed47_before,x_ref,2,205,0.01508469013505953,0.45302358110603813,False
bloodmnist_seed47_before,x_ref,3,77,0.0785373178828182,0.41915767354875105,False
bloodmnist_seed47_before,x_ref,4,82,0.021547432705031677,0.3316264424944287,False
bloodmnist_seed47_before,theta_eps0.001,0,235,0.014047788932192995,0.2964247548453483,True
bloodmnist_seed47_before,theta_eps0.001,1,235,0.015038820226539906,0.29658464289768854,True
bloodmnist_seed47_before,theta_eps0.001,2,235,0.013281804470118452,0.29635928197297723,True
bloodmnist_seed47_before,theta_eps0.001,3,235,0.01626548992642446,0.2965437895360228,True
bloodmnist_seed47_before,theta_eps0.001,4,235,0.01532464065501904,0.2965421876118193,True
bloodmnist_seed47_before,theta_eps0.01,0,235,0.011420540935164314,0.29398793442191457,True
bloodmnist_seed47_before,theta_eps0.01,1,235,0.02681473059413042,0.296167673292524,True
bloodmnist_seed47_before,theta_eps0.01,2,235,0.0035513571473516636,0.2938792333902302,True
bloodmnist_seed47_before,theta_eps0.01,3,235,0.03495280662770056,0.29548595094857255,True
bloodmnist_seed47_before,theta_eps0.01,4,235,0.025858288737916568,0.2953970518029808,True
bloodmnist_seed47_after,x_ref,1,235,0.03271847260274369,0.3808921778420286,False
bloodmnist_seed47_after,x_ref,2,141,0.028822386935148103,0.3362620391635383,False
bloodmnist_seed47_after,x_ref,3,235,0.04879921783094021,0.3442509882853407,False
bloodmnist_seed47_after,x_ref,4,68,0.012303642408482168,0.2799158669729837,False
bloodmnist_seed47_after,theta_eps0.001,0,167,0.08644049333615006,0.3445512062846315,True
bloodmnist_seed47_after,theta_eps0.001,1,167,0.08550642590671942,0.34453086665157134,True
bloodmnist_seed47_after,theta_eps0.001,2,167,0.089056544199967,0.3454433904657341,True
