seed,noise_p,condition,label,delta_pilot
43,0.01,clean,0,3.9672509306093975
43,0.01,clean,0,4.068655712562299
43,0.01,clean,0,3.973263130868431
43,0.01,clean,0,4.162112146793439
43,0.01,clean,0,3.6530570641054876
43,0.01,clean,0,3.7232923136772014
43,0.01,clean,0,3.05866019175595
43,0.01,clean,0,3.8865356348999653
43,0.01,clean,0,3.879022251651205
43,0.01,clean,0,3.27626229473861
43,0.01,zz_full,1,6.1416333346026235
43,0.01,zz_full,1,6.86212322898709
43,0.01,zz_full,1,6.812187409118881
43,0.01,zz_full,1,6.2766222358862205
43,0.01,zz_full,1,5.835632741833563
43,0.01,zz_full,1,6.270940912500994
43,0.01,zz_full,1,6.199823144002524
43,0.01,zz_full,1,5.921752327027717
43,0.01,zz_full,1,5.958469784794302
43,0.01,zz_full,1,6.238737211534843
43,0.01,zz_full,1,5.917897835280796
43,0.01,zz_full,1,6.619771684036681
43,0.01,zz_full,1,5.834151691971482
43,0.01,zz_full,1,6.728298586613969
43,0.01,zz_full,1,6.047761999358496
43,0.01,z_only,1,5.583075140583089
43,0.01,z_only,1,5.91060433620616
43,0.01,z_only,1,5.961428900421909
43,0.01,z_only,1,5.953685808306653
43,0.01,z_only,1,5.857855265103714
43,0.01,z_only,1,6.046046914661435
43,0.01,z_only,1,5.898358616371163
43,0.01,z_only,1,5.9877531765910765
43,0.01,z_only,1,5.450838561800948
43,0.01,z_only,1,5.564910524830471
43,0.01,z_only,1,5.625891907290455
43,0.01,z_only,1,5.385690889712621
43,0.01,z_only,1,6.1579311174775135
43,0.01,z_only,1,5.8179619427733
43,0.01,z_only,1,5.697906142734583
43,0.02,clean,0,4.240280188812039
43,0.02,clean,0,3.9009949519116764
43,0.02,clean,0,3.975097417069493
43,0.02,clean,0,3.574638879176569
43,0.02,clean,0,3.816270400893853
43,0.02,clean,0,3.7698899992313093
43,0.02,clean,0,3.5298381233547973
43,0.02,clean,0,3.722108321019244
43,0.02,clean,0,4.3665042805740315
43,0.02,clean,0,3.115772613117726
43,0.02,clean,0,4.170364829696269
43,0.02,clean,0,4.330547789620124
43,0.02,clean,0,4.095396705785193
43,0.02,clean,0,3.5293200598134566
43,0.02,clean,0,3.5946807797531544
43,0.02,zz_full,1,6.247322210889805
43,0.02,zz_full,1,6.28164893741688
43,0.02,zz_full,1,6.622002106731413
43,0.02,zz_full,1,5.714402674250752
43,0.02,zz_full,1,6.057321625320132
43,0.02,zz_full,1,6.487337928727638
43,0.02,zz_full,1,6.4470097916947315
43,0.02,zz_full,1,5.8333672792843
43,0.02,zz_full,1,5.986830763391482
43,0.02,zz_full,1,6.176736541786604
43,0.02,zz_full,1,6.185953601651911
43,0.02,zz_full,1,6.031090268148187
43,0.02,zz_full,1,6.451915826335304
43,0.02,zz_full,1,5.151809432200063
43,0.02,zz_full,1,6.171474908252585
43,0.02,z_only,1,5.85306617388737
43,0.02,z_only,1,5.51524459310215
43,0.02,z_only,1,5.129270668509339
43,0.02,z_only,1,5.367956795251374
43,0.02,z_only,1,6.074229746195557
43,0.02,z_only,1,5.666563282102292
43,0.02,z_only,1,6.173308958425541
43,0.02,z_only,1,5.266488625234981
43,0.02,z_only,1,5.339439680280619
43,0.02,z_only,1,6.128980605433132
43,0.02,z_only,1,5.6390338960233555
43,0.02,z_only,1,5.462337080434947
43,0.02,z_only,1,5.36755558546996
43,0.02,z_only,1,6.429435038685237
43,0.02,z_only,1,5.683580654429964
43,0.05,clean,0,4.16728474766402
43,0.05,clean,0,3.952864267408847
43,0.05,clean,0,3.8569231686693484
43,0.05,clean,0,3.8083671432792428
43,0.05,clean,0,3.323725328967191
43,0.05,clean,0,4.3392151472497895
43,0.05,clean,0,3.9571997632298204
43,0.05,clean,0,3.8833614387156006
43,0.05,clean,0,4.167588100940764
43,0.05,clean,0,4.050834705996283
43,0.05,clean,0,3.6074280136849284
43,0.05,clean,0,3.899298441104485
43,0.05,clean,0,3.806156184391092
43,0.05,clean,0,3.484400330823325
43,0.05,clean,0,3.6405587878553187
43,0.05,zz_full,1,5.927541461644148
43,0.05,zz_full,1,5.929363263858089
43,0.05,zz_full,1,6.039354890781635
43,0.05,zz_full,1,6.0401116029364115
43,0.05,zz_full,1,5.916374631990138
43,0.05,zz_full,1,5.48035461056104
43,0.05,zz_full,1,6.022072619446564
43,0.05,zz_full,1,5.644014272336452
43,0.05,zz_full,1,6.051639840130654
43,0.05,zz_full,1,5.767292366897985
43,0.05,zz_full,1,6.085091690957768
43,0.05,zz_full,1,5.92853529846631
43,0.05,zz_full,1,6.262290603934206
43,0.05,zz_full,1,6.214631407299346
43,0.05,zz_full,1,6.910457428134883
43,0.05,z_only,1,5.657241046189623
43,0.05,z_only,1,5.876747617648131
43,0.05,z_only,1,6.247043876723336
43,0.05,z_only,1,6.275013291979961
43,0.05,z_only,1,5.471544770382894
43,0.05,z_only,1,5.666194687722418
43,0.05,z_only,1,6.141088412864959
43,0.05,z_only,1,6.301272111816064
43,0.05,z_only,1,6.038200893828292
43,0.05,z_only,1,5.895018076045843
43,0.05,z_only,1,5.662204235101187
43,0.05,z_only,1,5.754392902253265
43,0.05,z_only,1,5.954375466787395
43,0.05,z_only,1,5.27895864825805
43,0.05,z_only,1,5.5379113316261295
43,0.1,clean,0,3.8987852302666677
43,0.1,clean,0,3.820202245128159
43,0.1,clean,0,4.037905989636316
43,0.1,clean,0,3.9630452073780185
43,0.1,clean,0,3.642280172200249
43,0.1,clean,0,4.267555175783145
43,0.1,clean,0,3.5728121958157595
43,0.1,clean,0,4.085412919541627
43,0.1,clean,0,4.033634005717787
43,0.1,clean,0,4.542639189746751
43,0.1,clean,0,3.7047665703675037
43,0.1,clean,0,3.9123364480685274
43,0.1,clean,0,3.2477871777195526
43,0.1,clean,0,4.140089313125989
43,0.1,clean,0,4.095274527671073
43,0.1,zz_full,1,6.605641193935741
43,0.1,zz_full,1,5.525940307468646
43,0.1,zz_full,1,5.902537474459894
43,0.1,zz_full,1,5.4699768409099745
43,0.1,zz_full,1,6.201304244889624
43,0.1,zz_full,1,5.701979794918051
43,0.1,zz_full,1,5.821959657891891
43,0.1,zz_full,1,5.852705199013914
43,0.1,zz_full,1,5.910876267857903
43,0.1,zz_full,1,5.749868451113501
43,0.1,zz_full,1,5.958411231368548
43,0.1,zz_full,1,5.9991615363343005
43,0.1,zz_full,1,6.0106573587921766
43,0.1,zz_full,1,5.658520655919852
43,0.1,zz_full,1,6.24813839660952
43,0.1,z_only,1,5.816808721148132
43,0.1,z_only,1,5.65745468492676
43,0.1,z_only,1,4.951150716063381
43,0.1,z_only,1,5.16042220402812
43,0.1,z_only,1,5.57530818165005
43,0.1,z_only,1,5.160453467462821
43,0.1,z_only,1,5.4860503804561045
43,0.1,z_only,1,5.735075783793825
43,0.1,z_only,1,6.102661595242901
43,0.1,z_only,1,5.888645749211926
43,0.1,z_only,1,5.8794072254004845
43,0.1,z_only,1,5.409161105465672
43,0.1,z_only,1,5.414728395101187
43,0.1,z_only,1,5.630904650588704
43,0.1,z_only,1,5.873513912253057
44,0.0,clean,0,3.7768202043574925
44,0.0,clean,0,4.291322349957563
44,0.0,clean,0,3.4656579020345823
44,0.0,clean,0,3.750760106540607
44,0.0,clean,0,4.057471759592461
44,0.0,clean,0,3.977948024391963
44,0.0,clean,0,3.9199436456652825
44,0.0,clean,0,3.34043407584649
44,0.0,clean,0,3.786318033885383
44,0.0,clean,0,3.9261043256172683
44,0.0,clean,0,3.9264513178755616
44,0.0,clean,0,3.9265181744966164
44,0.0,clean,0,4.230694957506834
44,0.0,clean,0,4.033902111550419
44,0.0,clean,0,4.4387544996556985
44,0.0,zz_full,1,6.662040824065109
44,0.0,zz_full,1,6.580981059050152
44,0.0,zz_full,1,6.1860139875148175
44,0.0,zz_full,1,6.779351428268288
44,0.0,zz_full,1,6.828633074947077
44,0.0,zz_full,1,7.160553145577121
44,0.0,zz_full,1,6.864019143557505
44,0.0,zz_full,1,6.605857878821958
44,0.0,zz_full,1,6.06967761695148
44,0.0,zz_full,1,7.045482201175454
44,0.0,zz_full,1,7.103012253600744
44,0.0,zz_full,1,5.797373652746826
44,0.0,zz_full,1,6.4678412559295575
44,0.0,zz_full,1,6.562687209166111
44,0.0,zz_full,1,6.103020889135816
44,0.0,z_only,1,6.040609291380847
44,0.0,z_only,1,5.814818552732869
44,0.0,z_only,1,6.359436461928438
44,0.0,z_only,1,6.038046106192832
44,0.0,z_only,1,6.070883192634816
44,0.0,z_only,1,6.3230983231811235
44,0.0,z_only,1,5.267422527471232
44,0.0,z_only,1,5.925161602955065
44,0.0,z_only,1,6.4428542021489505
44,0.0,z_only,1,6.629165234116806
44,0.0,z_only,1,6.688331352273491
44,0.0,z_only,1,6.802336627522845
44,0.0,z_only,1,6.124804197919429
44,0.0,z_only,1,6.543268297291885
44,0.0,z_only,1,5.8753131457676195
44,0.01,clean,0,4.292330811636887
44,0.01,clean,0,3.580195066549987
44,0.01,clean,0,3.9377612854716393
44,0.01,clean,0,3.5575472962471655
44,0.01,clean,0,4.152791151590799
44,0.01,clean,0,3.794324009515239
44,0.01,clean,0,3.8472199820161106
44,0.01,clean,0,3.4161439094681136
44,0.01,clean,0,3.492145235650045
44,0.01,clean,0,3.733002316637294
44,0.01,clean,0,3.934500113910635
44,0.01,clean,0,3.4154666917258116
44,0.01,clean,0,4.47988073436613
44,0.01,clean,0,3.9298209494046343
44,0.01,clean,0,3.879220767885692
44,0.01,zz_full,1,6.927359775969
44,0.01,zz_full,1,6.462458623215369
44,0.01,zz_full,1,5.993065917732388
44,0.01,zz_full,1,5.934187160530545
44,0.01,zz_full,1,6.076913131406937
44,0.01,zz_full,1,6.527898257675928
44,0.01,zz_full,1,6.300931222620432
44,0.01,zz_full,1,6.7773390196813725
44,0.01,zz_full,1,5.840515417512007
44,0.01,zz_full,1,6.117311831520476
44,0.01,zz_full,1,6.156999135081671
44,0.01,zz_full,1,6.503678773052797
