seed,damping_g,condition,label,delta_pilot
43,0.02,zz_full,1,5.4948775651318105
43,0.02,zz_full,1,6.189701759299825
43,0.02,z_only,1,5.774962270175593
43,0.02,z_only,1,6.358733436037353
43,0.02,z_only,1,5.502051106759486
43,0.02,z_only,1,5.916581954062374
43,0.02,z_only,1,5.45173851777245
43,0.02,z_only,1,5.849469709467692
43,0.02,z_only,1,5.633856788239985
43,0.02,z_only,1,5.781743239861617
43,0.02,z_only,1,5.939259724564481
43,0.02,z_only,1,5.816732394602421
43,0.02,z_only,1,5.9574960755478
43,0.02,z_only,1,5.1490155797764
43,0.02,z_only,1,5.588710532066152
43,0.02,z_only,1,6.6987427302992995
43,0.02,z_only,1,6.148764333294976
43,0.05,clean,0,3.773184855989247
43,0.05,clean,0,3.877081939181409
43,0.05,clean,0,3.9960871055964393
43,0.05,clean,0,3.4903717069670517
43,0.05,clean,0,3.8185916025696294
43,0.05,clean,0,4.07964930366699
43,0.05,clean,0,4.079372053967608
43,0.05,clean,0,4.35508632865122
43,0.05,clean,0,3.972276931518342
43,0.05,clean,0,4.176787160606578
43,0.05,clean,0,3.4933147661950144
43,0.05,clean,0,3.224651815887725
43,0.05,clean,0,4.232058340200563
43,0.05,clean,0,3.996636364582078
43,0.05,clean,0,3.302186133034295
43,0.05,zz_full,1,6.367806171736735
43,0.05,zz_full,1,6.1049578032749325
43,0.05,zz_full,1,5.678634790252004
43,0.05,zz_full,1,6.414162783580665
43,0.05,zz_full,1,5.4699073347002
43,0.05,zz_full,1,5.8522702399418565
43,0.05,zz_full,1,5.604436010665374
43,0.05,zz_full,1,6.302352237799836
43,0.05,zz_full,1,5.942016898201765
43,0.05,zz_full,1,6.051600931335077
43,0.05,zz_full,1,6.465307135226186
43,0.05,zz_full,1,5.9624728942344944
43,0.05,zz_full,1,5.792299766658068
43,0.05,zz_full,1,6.450962800726226
43,0.05,zz_full,1,6.191036738979112
43,0.05,z_only,1,5.046384781998157
43,0.05,z_only,1,5.118439189379981
43,0.05,z_only,1,5.6377256239888816
43,0.05,z_only,1,5.172372032117157
43,0.05,z_only,1,6.023454851764524
43,0.05,z_only,1,5.514343417484196
