seed,condition,label,score
44,white_box_optimized,1,3.578439261110044
44,white_box_optimized,1,3.72787228147425
44,white_box_optimized,1,4.233119830086457
44,white_box_optimized,1,3.540872076334403
44,white_box_optimized,1,3.813062785362204
45,clean,0,4.155092681814179
45,clean,0,3.6828849849264422
45,clean,0,4.097201491169763
45,clean,0,4.162402298398061
45,clean,0,4.00793459936773
45,clean,0,3.4999667154847525
45,clean,0,3.713342968860279
45,clean,0,3.4113151579354524
45,clean,0,3.636964842828053
45,clean,0,4.22015573148628
45,clean,0,3.5504903135275176
45,clean,0,3.510951217757373
45,clean,0,4.298434635698129
45,clean,0,4.275234549396714
45,clean,0,3.608992141986471
45,random_direction,1,5.898709715682635
45,random_direction,1,6.794335101665518
45,random_direction,1,6.720412291911896
45,random_direction,1,6.674027190058196
45,random_direction,1,6.028555670152757
45,random_direction,1,6.318759001403424
45,random_direction,1,6.261960921590793
45,random_direction,1,6.695385814831252
45,random_direction,1,6.186457651048395
45,random_direction,1,6.58260832375762
45,random_direction,1,6.922481812658689
45,random_direction,1,6.58546040862095
45,random_direction,1,6.495281851402048
45,random_direction,1,6.045434453549273
45,random_direction,1,5.830315100637458
45,white_box_optimized,1,5.792470300461972
45,white_box_optimized,1,5.761361445840019
45,white_box_optimized,1,5.855132386726513
45,white_box_optimized,1,5.776469688073639
45,white_box_optimized,1,5.881251134298735
45,white_box_optimized,1,6.156755493615018
45,white_box_optimized,1,5.448190022055994
45,white_box_optimized,1,6.561506622953766
45,white_box_optimized,1,5.731681851821212
45,white_box_optimized,1,6.459860369593479
45,white_box_optimized,1,5.969447303608982
45,white_box_optimized,1,5.774281976205086
45,white_box_optimized,1,4.887648035410874
45,white_box_optimized,1,5.492875488011152
45,white_box_optimized,1,5.3410751943137615
46,clean,0,4.027877179782954
46,clean,0,4.064432122280343
46,clean,0,3.996987242000206
46,clean,0,3.7097988243969753
46,clean,0,3.7057437978105967
46,clean,0,3.517587398865005
46,clean,0,4.019506241799457
46,clean,0,3.989523487061799
46,clean,0,4.527030911198194
46,clean,0,4.0004610396984805
46,clean,0,4.003277013476246
46,clean,0,3.8464166271864193
46,clean,0,3.584567239635596
46,clean,0,3.882636831048639
46,clean,0,3.361760423160306
46,random_direction,1,6.502476370648089
46,random_direction,1,5.971079234859184
46,random_direction,1,6.10502242598858
46,random_direction,1,5.564831029351039
46,random_direction,1,6.1553302243795525
46,random_direction,1,5.88309098942376
46,random_direction,1,6.403109311144925
46,random_direction,1,5.979308976220639
46,random_direction,1,6.080420346901039
46,random_direction,1,6.347778993361701
46,random_direction,1,5.801954956009205
46,random_direction,1,6.057339551899511
46,random_direction,1,5.227116861268504
46,random_direction,1,6.128062685572861
46,random_direction,1,5.716489401998919
46,white_box_optimized,1,3.398601081764803
46,white_box_optimized,1,3.496860278478245
46,white_box_optimized,1,3.957339593097174
46,white_box_optimized,1,3.763736056746656
46,white_box_optimized,1,4.246637196494853
46,white_box_optimized,1,3.9301995683031485
46,white_box_optimized,1,3.7994361994090617
46,white_box_optimized,1,4.084758799542659
46,white_box_optimized,1,3.6582832571957677
46,white_box_optimized,1,3.755728826180438
46,white_box_optimized,1,3.6018000666185728
46,white_box_optimized,1,4.035179704110572
46,white_box_optimized,1,3.8350818780192455
46,white_box_optimized,1,3.9781887678255505
46,white_box_optimized,1,4.521642418942776
47,clean,0,3.9661805501013485
47,clean,0,4.419176957070574
47,clean,0,4.5263269131813795
47,clean,0,3.7687765707578347
47,clean,0,4.108940824741426
