seed,condition,label,score
44,random_direction,1,6.675528522713271
44,random_direction,1,6.649886840560338
44,random_direction,1,6.886981769804512
44,random_direction,1,5.856951138498998
44,random_direction,1,6.7598395167114855
44,constrained_optimized,1,5.868775261107171
44,constrained_optimized,1,5.486900661652109
44,constrained_optimized,1,5.464983936405855
44,constrained_optimized,1,5.731255663910256
44,constrained_optimized,1,5.665238661609058
44,constrained_optimized,1,6.098976761861605
44,constrained_optimized,1,6.223698123108023
44,constrained_optimized,1,5.975955570747812
44,constrained_optimized,1,6.6168252367395946
44,constrained_optimized,1,6.0119069717842395
44,constrained_optimized,1,5.6263311019658895
44,constrained_optimized,1,5.878947449968818
44,constrained_optimized,1,6.116415937474878
44,constrained_optimized,1,6.009294318739394
44,constrained_optimized,1,5.711899413746423
45,clean,0,4.203854976516854
45,clean,0,3.6552651616061844
45,clean,0,3.6191037026224446
45,clean,0,3.858404915437063
45,clean,0,4.2412807050014925
45,clean,0,4.209821894423785
45,clean,0,3.9373230629026725
45,clean,0,3.647323657458569
45,clean,0,4.181757406770269
45,clean,0,3.1544463126963884
45,clean,0,4.507701518418614
45,clean,0,4.0501791851584334
45,clean,0,3.4364773931429435
45,clean,0,3.4771728995260456
45,clean,0,3.370304539569536
45,random_direction,1,5.695436406941199
45,random_direction,1,6.867138388112684
45,random_direction,1,6.095859456127441
45,random_direction,1,6.169511392300176
45,random_direction,1,6.23494349429598
45,random_direction,1,6.366970086443681
45,random_direction,1,6.1326533535130565
45,random_direction,1,6.658952841761197
45,random_direction,1,5.984217627599615
45,random_direction,1,6.510144078125918
45,random_direction,1,5.924124372224476
45,random_direction,1,6.948019044827466
45,random_direction,1,6.009571109357151
45,random_direction,1,7.249875909830456
45,random_direction,1,5.850137580125411
45,constrained_optimized,1,5.477499597098039
45,constrained_optimized,1,5.984866489792193
45,constrained_optimized,1,6.640553419695266
45,constrained_optimized,1,5.971633528580821
45,constrained_optimized,1,5.582218577893926
45,constrained_optimized,1,5.622688796600649
45,constrained_optimized,1,5.545701317031392
45,constrained_optimized,1,5.125505287029525
45,constrained_optimized,1,5.726389084624122
45,constrained_optimized,1,4.900939937841524
45,constrained_optimized,1,5.6908807799769034
45,constrained_optimized,1,5.965929208475834
45,constrained_optimized,1,5.780962978614513
45,constrained_optimized,1,5.262325067377095
45,constrained_optimized,1,5.4093416080076215
46,clean,0,3.904551320812885
46,clean,0,4.2608905047585415
46,clean,0,3.449390483479249
46,clean,0,3.956630982664775
46,clean,0,3.935747005127247
46,clean,0,4.490824873942801
46,clean,0,3.979923883539423
46,clean,0,3.450799078191931
46,clean,0,3.6753598709911866
46,clean,0,4.373660089102878
46,clean,0,3.6605196019983572
46,clean,0,3.827421927658547
46,clean,0,3.926034570365107
46,clean,0,3.8281285260467977
46,clean,0,4.011958396067466
46,random_direction,1,6.200200791847251
46,random_direction,1,6.844838839945866
46,random_direction,1,5.597040585541853
46,random_direction,1,6.245802540634642
46,random_direction,1,5.943210536055079
