seed,noise_p,zz_scale,condition,label,delta_pilot
46,0.01,0.05,zz_scale_0.05,1,4.288633458491437
46,0.01,0.05,zz_scale_0.05,1,3.9672798645580687
46,0.01,0.05,zz_scale_0.05,1,4.067191387714776
46,0.01,0.05,zz_scale_0.05,1,3.60646299755547
46,0.01,0.05,zz_scale_0.05,1,3.808468624769057
46,0.01,0.05,zz_scale_0.05,1,3.6363284248331995
46,0.01,0.05,zz_scale_0.05,1,4.202798003109335
46,0.01,0.05,zz_scale_0.05,1,4.037448577592857
46,0.01,0.05,zz_scale_0.05,1,3.7810490320734726
46,0.01,0.05,zz_scale_0.05,1,3.477898954001327
46,0.01,0.15,zz_scale_0.15,1,4.020439970649151
46,0.01,0.15,zz_scale_0.15,1,4.149444717962835
46,0.01,0.15,zz_scale_0.15,1,4.3102704976288
46,0.01,0.15,zz_scale_0.15,1,4.2630463151228115
46,0.01,0.15,zz_scale_0.15,1,3.984929755319074
46,0.01,0.15,zz_scale_0.15,1,4.468780498703879
46,0.01,0.15,zz_scale_0.15,1,4.417393077738799
46,0.01,0.15,zz_scale_0.15,1,4.148499358358704
46,0.01,0.15,zz_scale_0.15,1,3.855215860971898
46,0.01,0.15,zz_scale_0.15,1,3.881097439704666
46,0.01,0.15,zz_scale_0.15,1,4.047626479001574
46,0.01,0.15,zz_scale_0.15,1,4.377336683159037
46,0.01,0.15,zz_scale_0.15,1,4.00342102418034
46,0.01,0.15,zz_scale_0.15,1,4.405114876409008
46,0.01,0.15,zz_scale_0.15,1,4.144383634707599
46,0.01,0.3,zz_scale_0.3,1,4.3579562819489865
46,0.01,0.3,zz_scale_0.3,1,4.935681328020805
46,0.01,0.3,zz_scale_0.3,1,5.322715715745225
46,0.01,0.3,zz_scale_0.3,1,4.978336439339542
46,0.01,0.3,zz_scale_0.3,1,4.9627038218010116
46,0.01,0.3,zz_scale_0.3,1,4.930762133290224
46,0.01,0.3,zz_scale_0.3,1,4.898056729499361
46,0.01,0.3,zz_scale_0.3,1,4.875520767033008
46,0.01,0.3,zz_scale_0.3,1,5.000072446954482
46,0.01,0.3,zz_scale_0.3,1,4.78683724836845
46,0.01,0.3,zz_scale_0.3,1,4.5453721343674625
46,0.01,0.3,zz_scale_0.3,1,4.475874324711351
46,0.01,0.3,zz_scale_0.3,1,4.439020209708928
46,0.01,0.3,zz_scale_0.3,1,4.780619510627737
46,0.01,0.3,zz_scale_0.3,1,4.921324255896164
