seed,condition,label,score_manifold,score_naive_offdiag,score_trace_distance
42,zz_scale_0.3,1,4.715729516630733,8.424517326417089,0.35620771911116034
42,zz_scale_0.3,1,5.611834026961519,8.758639956003739,0.3552525356822147
42,zz_scale_0.3,1,4.648437429497426,8.01707455124999,0.32201780765783394
42,zz_scale_0.3,1,4.826610984857059,8.107034933454283,0.3517894819938861
42,zz_scale_0.3,1,4.477594169933301,8.12053432037897,0.3325434664975577
42,zz_scale_0.3,1,4.955048099681779,8.464426821607226,0.35496305336735573
42,zz_scale_0.3,1,4.851904681494344,8.538496658990454,0.3493588538373412
42,zz_scale_0.3,1,4.796447318438632,8.005809586527642,0.35699979384828634
42,zz_scale_0.3,1,5.410532157657951,8.002133356356437,0.3784630964019336
42,zz_scale_0.3,1,5.329828556314554,9.035683844698701,0.3762059278058997
42,zz_scale_0.3,1,4.94220000338979,7.89849007344571,0.3484872865334676
42,zz_scale_0.3,1,4.737880468192114,8.066134940232248,0.38106339393644867
42,zz_scale_0.3,1,4.705098903261301,8.37100248583223,0.34991540223493467
42,zz_scale_0.6,1,5.7636522530461205,10.192414996115946,0.491287384068663
42,zz_scale_0.6,1,6.319626947415378,10.097359364415873,0.5008604013680825
42,zz_scale_0.6,1,5.545558913570985,9.871670801503925,0.4647875800695306
42,zz_scale_0.6,1,5.818093369673355,10.133690013812707,0.4855280460861398
42,zz_scale_0.6,1,5.59670337024751,10.428075757099036,0.47876552468347644
42,zz_scale_0.6,1,5.539756962814814,9.679179366648837,0.45859826209392085
42,zz_scale_0.6,1,6.36903716654477,9.859434061346537,0.4832268072083793
42,zz_scale_0.6,1,5.847277939984683,9.681899376850966,0.47210356261189207
42,zz_scale_0.6,1,6.44317969068309,10.327251957952905,0.49384238026967703
42,zz_scale_0.6,1,5.774158040571785,10.312172560126966,0.5088579544224505
42,zz_scale_0.6,1,5.647631144265137,9.405594742193951,0.482047137967838
42,zz_scale_0.6,1,6.054417333838931,10.059352611633123,0.4942036550792682
42,zz_scale_0.6,1,5.563582623656404,10.079411100457051,0.5023558131768799
42,zz_scale_0.6,1,5.826061728871173,9.885332347901747,0.46269576275491764
42,zz_scale_0.6,1,5.467614180549611,9.493291112206606,0.48832289489014996
42,zz_scale_1.0,1,6.47292298371754,11.217591028009469,0.5635388213953898
42,zz_scale_1.0,1,5.964921991597644,11.033738783105527,0.5794064511633445
42,zz_scale_1.0,1,5.6648251425254275,10.937766660617369,0.5472267659942118
42,zz_scale_1.0,1,6.273812901971434,11.519266763495075,0.543730631139119
42,zz_scale_1.0,1,5.921498124526008,10.743133763244776,0.5364297609474626
42,zz_scale_1.0,1,5.985945861289227,10.810292585511728,0.5500538068969536
42,zz_scale_1.0,1,6.672960918767389,11.301753201097014,0.558943309976978
42,zz_scale_1.0,1,6.414069220280257,11.273324151201782,0.5416001080952351
42,zz_scale_1.0,1,6.349810169311364,11.245038478712665,0.5635273094162614
42,zz_scale_1.0,1,5.994942710360624,11.037723075758763,0.5398359409254487
42,zz_scale_1.0,1,6.250096450004181,11.398194468086565,0.5625838844514165
42,zz_scale_1.0,1,6.572472588306192,11.479470550177489,0.5683275807412678
42,zz_scale_1.0,1,6.193298768157459,11.495423875339814,0.5685717494508101
42,zz_scale_1.0,1,5.666302593020112,10.668622806491957,0.5273159027410736
42,zz_scale_1.0,1,5.949098071711861,10.709542500381023,0.5414038516306914
42,z_only,1,6.793140044512106,11.720469836464739,0.5942044851800515
42,z_only,1,7.034345154678007,11.38034705775722,0.6080770414650952
42,z_only,1,6.741348055975685,11.057283505169524,0.5898409010226249
42,z_only,1,6.521256874582649,11.270797350548042,0.5822109534881634
42,z_only,1,6.9447004148613765,11.449238400290849,0.5750655125393286
42,z_only,1,6.823270295397278,11.346720251534597,0.5758626078026625
42,z_only,1,6.285784670475969,10.922839911150422,0.5685595238218543
42,z_only,1,6.48756064218942,11.523259931835636,0.5878470253175326
42,z_only,1,6.833675250547955,11.34122232226302,0.5584876310834626
42,z_only,1,6.510237873754023,10.555407877735997,0.5827120135516946
42,z_only,1,6.526402849760691,10.981906488397103,0.5955243117284337
42,z_only,1,6.202289367407254,11.090427988980885,0.5928065838973824
42,z_only,1,6.504113228719823,10.867193315895904,0.5676630807475006
42,z_only,1,7.0356304044948645,11.318575069100175,0.5752061610062448
42,z_only,1,6.41402607095327,11.298677008825022,0.616322489347719
43,clean,0,3.180305860901069,6.359877908354437,0.26037813443534397
43,clean,0,4.227216229607248,6.5314359846865555,0.28362525647771986
