seed,condition,label,delta_pilot
45,zz_scale_0.3,1,7.828308122766641
45,zz_scale_0.3,1,8.015903306828394
45,zz_scale_0.3,1,7.719554923958229
45,zz_scale_0.3,1,8.157197640989306
45,zz_scale_0.3,1,8.116950517522753
45,zz_scale_0.6,1,8.303471841303484
45,zz_scale_0.6,1,9.103460507247076
45,zz_scale_0.6,1,7.87646353489442
45,zz_scale_0.6,1,8.399765977013951
45,zz_scale_0.6,1,7.805249167351115
45,zz_scale_0.6,1,8.983924928078094
45,zz_scale_0.6,1,8.402854374914146
45,zz_scale_0.6,1,9.171467772305421
45,zz_scale_0.6,1,8.384358094325815
45,zz_scale_0.6,1,7.759355658067858
45,zz_scale_0.6,1,7.810100028803082
45,zz_scale_0.6,1,8.64794319612599
45,zz_scale_0.6,1,8.375803255795779
45,zz_scale_0.6,1,8.287556932036475
45,zz_scale_0.6,1,8.73987593674606
45,zz_scale_1.0,1,7.413546937022725
45,zz_scale_1.0,1,8.347220635914516
45,zz_scale_1.0,1,8.346562060203382
45,zz_scale_1.0,1,8.578692979366455
45,zz_scale_1.0,1,8.203054738428097
45,zz_scale_1.0,1,8.515996662880525
45,zz_scale_1.0,1,9.054326285506487
45,zz_scale_1.0,1,8.797061952104796
45,zz_scale_1.0,1,8.369654204487622
45,zz_scale_1.0,1,8.489999636727482
45,zz_scale_1.0,1,8.75588488686494
45,zz_scale_1.0,1,8.601878543060632
45,zz_scale_1.0,1,9.016193455045377
45,zz_scale_1.0,1,8.789877871560435
45,zz_scale_1.0,1,8.769714753943731
45,z_only,1,7.8755756328302
45,z_only,1,7.550428852000849
45,z_only,1,8.916735236075004
45,z_only,1,8.011147227789737
45,z_only,1,8.079924783571117
45,z_only,1,9.14387133151591
45,z_only,1,8.682108076104774
45,z_only,1,8.464461923439764
45,z_only,1,8.897812289136013
45,z_only,1,8.36553689983664
45,z_only,1,8.044763121284257
45,z_only,1,7.961624607612213
45,z_only,1,8.055840939380687
45,z_only,1,9.162504720577777
45,z_only,1,7.725199253789932
46,clean,0,5.622646770073105
46,clean,0,6.022869113174516
46,clean,0,6.024686693541916
46,clean,0,6.526789187080674
46,clean,0,5.957430707824355
46,clean,0,6.418591399455664
46,clean,0,6.980652002940374
46,clean,0,6.322916885900041
46,clean,0,6.19334813411034
46,clean,0,6.13792449411963
46,clean,0,5.82760836788235
46,clean,0,5.553713909481539
46,clean,0,5.569658137723447
46,clean,0,6.9834813375462295
46,clean,0,7.171598819125088
46,zz_scale_0.05,1,6.403857671435852
46,zz_scale_0.05,1,6.33470490149342
46,zz_scale_0.05,1,6.372953835345838
46,zz_scale_0.05,1,6.66831203458002
46,zz_scale_0.05,1,6.266690844316603
46,zz_scale_0.05,1,6.052311461423051
46,zz_scale_0.05,1,5.64053009852969
46,zz_scale_0.05,1,6.790171710311142
46,zz_scale_0.05,1,7.370537000891746
46,zz_scale_0.05,1,5.957885445354192
46,zz_scale_0.05,1,6.486585710089314
46,zz_scale_0.05,1,6.018489169159015
46,zz_scale_0.05,1,6.331120194498474
46,zz_scale_0.05,1,5.367658604000528
46,zz_scale_0.05,1,6.545283244116472
46,zz_scale_0.15,1,6.289724621655415
46,zz_scale_0.15,1,6.555804683727676
46,zz_scale_0.15,1,6.775495685820744
46,zz_scale_0.15,1,6.422473409452888
46,zz_scale_0.15,1,6.596146687894919
46,zz_scale_0.15,1,6.0949868973910375
46,zz_scale_0.15,1,6.183419058879007
46,zz_scale_0.15,1,6.539800270225229
46,zz_scale_0.15,1,6.175233893509399
46,zz_scale_0.15,1,6.3355411428714925
46,zz_scale_0.15,1,6.337916999179094
46,zz_scale_0.15,1,7.016557175585715
46,zz_scale_0.15,1,6.916659883059808
46,zz_scale_0.15,1,6.259481923752596
46,zz_scale_0.15,1,6.857517806544968
46,zz_scale_0.3,1,6.784565532057632
46,zz_scale_0.3,1,7.571709089984274
46,zz_scale_0.3,1,6.842232304883703
46,zz_scale_0.3,1,8.12665355175631
46,zz_scale_0.3,1,6.3776235674583805
46,zz_scale_0.3,1,6.781250104760487
46,zz_scale_0.3,1,6.926397711230793
46,zz_scale_0.3,1,6.568033312321905
46,zz_scale_0.3,1,7.305906084505136
46,zz_scale_0.3,1,7.090869543584307
46,zz_scale_0.3,1,6.6955175916567935
46,zz_scale_0.3,1,7.047378674944796
46,zz_scale_0.3,1,6.362829088113651
46,zz_scale_0.3,1,6.637123272456848
46,zz_scale_0.3,1,6.572034513267277
46,zz_scale_0.6,1,7.711600506697348
46,zz_scale_0.6,1,8.099623583450546
46,zz_scale_0.6,1,8.806962928473355
46,zz_scale_0.6,1,7.730957730181737
46,zz_scale_0.6,1,8.473353685901055
46,zz_scale_0.6,1,7.725973708603408
46,zz_scale_0.6,1,8.089510100153683
46,zz_scale_0.6,1,7.878531702220603
46,zz_scale_0.6,1,8.362654339490259
46,zz_scale_0.6,1,8.022289353619138
46,zz_scale_0.6,1,7.44016616689361
46,zz_scale_0.6,1,8.714440945246574
46,zz_scale_0.6,1,7.363575948896311
46,zz_scale_0.6,1,8.285996297511229
46,zz_scale_0.6,1,8.104336993882377
46,zz_scale_1.0,1,8.493122367338453
46,zz_scale_1.0,1,8.053647539442961
46,zz_scale_1.0,1,8.657923358584158
